time,msd
50,0.00297375
100,0.0145924
150,0.0302659
200,0.0498499
250,0.0703183
300,0.090883
350,0.111873
400,0.134421
450,0.156185
500,0.176024
550,0.198222
600,0.217675
650,0.231602
700,0.245389
750,0.259902
800,0.27378
850,0.288658
900,0.303266
950,0.31934
1000,0.335965
1050,0.351531
1100,0.368748
1150,0.382856
1200,0.397174
1250,0.415303
1300,0.431451
1350,0.443757
1400,0.455174
1450,0.466519
1500,0.472934
1550,0.477028
1600,0.484131
1650,0.491695
1700,0.498273
1750,0.505534
1800,0.514674
1850,0.52474
1900,0.535271
1950,0.547744
2000,0.562371
2050,0.575849
2100,0.589262
2150,0.604657
2200,0.615515
2250,0.622624
2300,0.630614
2350,0.639445
2400,0.650058
2450,0.660998
2500,0.673194
2550,0.684988
2600,0.694655
2650,0.707146
2700,0.719965
2750,0.726737
2800,0.734766
2850,0.742156
2900,0.742836
2950,0.745419
3000,0.751839
3050,0.75912
3100,0.768844
3150,0.780862
3200,0.791682
3250,0.805012
3300,0.823434
3350,0.843364
3400,0.86412
3450,0.879516
3500,0.885042
3550,0.887372
3600,0.889092
3650,0.890115
3700,0.89149
3750,0.894298
3800,0.898539
3850,0.901352
3900,0.901464
3950,0.901588
4000,0.905051
4050,0.91756
4100,0.931973
4150,0.945846
4200,0.963307
4250,0.979404
4300,0.992002
4350,0.997406
4400,0.997771
4450,0.999574
4500,1.00075
4550,1.00325
4600,1.00943
4650,1.01988
4700,1.03519
4750,1.05093
4800,1.06391
4850,1.07422
4900,1.08163
4950,1.08602
5000,1.0908
5050,1.09911
5100,1.10647
5150,1.1121
5200,1.11718
5250,1.12008
5300,1.12372
5350,1.13
5400,1.13751
5450,1.1463
5500,1.15135
5550,1.15318
5600,1.1562
5650,1.15962
5700,1.16746
5750,1.17953
5800,1.19109
5850,1.20545
5900,1.2198
5950,1.23121
6000,1.2374
6050,1.23982
6100,1.24272
6150,1.24666
6200,1.24717
6250,1.24467
6300,1.24845
6350,1.25371
6400,1.25517
6450,1.25527
6500,1.25678
6550,1.2635
6600,1.27587
6650,1.29181
6700,1.31269
6750,1.33
6800,1.33755
6850,1.33955
6900,1.3372
6950,1.33195
7000,1.32466
7050,1.32117
7100,1.3269
7150,1.33554
7200,1.34488
7250,1.35381
7300,1.35486
7350,1.35332
7400,1.35608
7450,1.3608
7500,1.3686
7550,1.37847
7600,1.3871
7650,1.39409
7700,1.40145
7750,1.40915
7800,1.41543
7850,1.41418
7900,1.40436
7950,1.38909
8000,1.37594
8050,1.36955
8100,1.37435
8150,1.38963
8200,1.41094
8250,1.43418
8300,1.45498
8350,1.46651
8400,1.46673
8450,1.46497
8500,1.46316
8550,1.46286
8600,1.46335
8650,1.46575
8700,1.47542
8750,1.4843
8800,1.4868
8850,1.4896
8900,1.49516
8950,1.49647
9000,1.49673
9050,1.4988
9100,1.50185
9150,1.51009
9200,1.52757
9250,1.5482
9300,1.56088
9350,1.56301
9400,1.55819
9450,1.55294
9500,1.54707
9550,1.54317
9600,1.54867
9650,1.55871
9700,1.5663
9750,1.57086
9800,1.57142
9850,1.5669
9900,1.5626
9950,1.56333
10000,1.56688
10050,1.57491
10100,1.58717
10150,1.60349
10200,1.62071
10250,1.63591
10300,1.64748
10350,1.6517
10400,1.65157
10450,1.645
10500,1.63387
10550,1.63132
10600,1.63454
10650,1.63412
10700,1.63624
10750,1.64441
10800,1.65994
10850,1.68255
10900,1.70467
10950,1.71627
11000,1.71319
11050,1.6954
11100,1.66953
11150,1.6474
11200,1.63184
11250,1.62123
11300,1.62066
11350,1.63034
11400,1.64501
11450,1.65905
11500,1.67513
11550,1.68544
11600,1.67958
11650,1.67363
11700,1.66681
11750,1.6639
11800,1.66813
11850,1.66997
11900,1.67546
11950,1.68106
12000,1.68142
12050,1.67815
12100,1.67518
12150,1.67835
12200,1.68573
12250,1.69612
12300,1.70566
12350,1.71266
12400,1.7215
12450,1.73087
12500,1.74005
12550,1.74687
12600,1.74628
12650,1.74394
12700,1.74327
12750,1.73749
12800,1.73551
12850,1.73961
12900,1.7419
12950,1.74778
13000,1.75631
13050,1.77214
13100,1.79365
13150,1.81222
13200,1.82862
13250,1.82604
13300,1.80566
13350,1.78377
13400,1.77003
13450,1.76363
13500,1.75919
13550,1.76436
13600,1.77867
13650,1.7927
13700,1.80459
13750,1.81209
13800,1.81186
13850,1.80941
13900,1.80375
13950,1.79748
14000,1.79871
14050,1.80392
14100,1.81103
14150,1.81657
14200,1.8154
14250,1.80787
14300,1.8024
14350,1.79958
14400,1.79772
14450,1.80029
14500,1.81127
14550,1.83077
14600,1.84663
14650,1.85606
14700,1.86136
14750,1.86201
14800,1.85893
14850,1.84377
14900,1.83127
14950,1.83098
15000,1.83648
15050,1.84814
15100,1.86114
15150,1.87001
15200,1.87274
15250,1.87199
15300,1.87371
15350,1.87664
15400,1.88458
15450,1.89457
15500,1.89537
15550,1.89632
15600,1.89973
15650,1.89582
15700,1.88697
15750,1.88244
15800,1.88259
15850,1.88025
15900,1.88025
15950,1.88832
16000,1.89726
16050,1.90121
16100,1.89772
16150,1.89251
16200,1.89088
16250,1.89013
16300,1.89334
16350,1.89786
16400,1.90348
16450,1.912
16500,1.91851
16550,1.9205
16600,1.92265
16650,1.92301
16700,1.92439
16750,1.93149
16800,1.94827
16850,1.96606
16900,1.97388
16950,1.97427
17000,1.96664
17050,1.95534
17100,1.94061
17150,1.9311
17200,1.92788
17250,1.93127
17300,1.94597
17350,1.96094
17400,1.96876
17450,1.97158
17500,1.97327
17550,1.97731
17600,1.97892
17650,1.97886
17700,1.98808
17750,2.00625
17800,2.02268
17850,2.03344
17900,2.0397
17950,2.03804
18000,2.03116
18050,2.0223
18100,2.01842
18150,2.02233
18200,2.03316
18250,2.0514
18300,2.07559
18350,2.09756
18400,2.10135
18450,2.09589
18500,2.08575
18550,2.07782
18600,2.07179
18650,2.06049
18700,2.05416
18750,2.05491
18800,2.05907
18850,2.06833
18900,2.08656
18950,2.10302
19000,2.10874
19050,2.10837
19100,2.11229
19150,2.12315
19200,2.13844
19250,2.15603
19300,2.1669
19350,2.16954
19400,2.16014
19450,2.14643
19500,2.14285
19550,2.14108
19600,2.13609
19650,2.1365
19700,2.14291
19750,2.14697
19800,2.14858
19850,2.15065
19900,2.15084
19950,2.15195
20000,2.15488
20050,2.15818
20100,2.15348
20150,2.14753
20200,2.14948
20250,2.15211
20300,2.15362
20350,2.16354
20400,2.17739
20450,2.1876
20500,2.20175
20550,2.21567
20600,2.22673
20650,2.23191
20700,2.22344
20750,2.21949
20800,2.21447
20850,2.20287
20900,2.20265
20950,2.21204
21000,2.2227
21050,2.23841
21100,2.24987
21150,2.25267
21200,2.25767
21250,2.25335
21300,2.23716
21350,2.22692
21400,2.22952
21450,2.24596
21500,2.2694
21550,2.29578
21600,2.32209
21650,2.33257
21700,2.32685
21750,2.31302
21800,2.29538
21850,2.27458
21900,2.25636
21950,2.24814
22000,2.25614
22050,2.27842
22100,2.30119
22150,2.32318
22200,2.33807
22250,2.33657
22300,2.33261
22350,2.32736
22400,2.32465
22450,2.32441
22500,2.31831
22550,2.3145
22600,2.31842
22650,2.32853
22700,2.33565
22750,2.33409
22800,2.32918
22850,2.32873
22900,2.33903
22950,2.35296
23000,2.3756
23050,2.39808
23100,2.41023
23150,2.41508
23200,2.41327
23250,2.41014
23300,2.41113
23350,2.4149
23400,2.40985
23450,2.40642
23500,2.41064
23550,2.41713
23600,2.43218
23650,2.44181
23700,2.4449
23750,2.44634
23800,2.44038
23850,2.43559
23900,2.42442
23950,2.41291
24000,2.41192
24050,2.41561
24100,2.4278
24150,2.44708
24200,2.46035
24250,2.46429
24300,2.46572
24350,2.46749
24400,2.46326
24450,2.4508
24500,2.43781
24550,2.42863
24600,2.42997
24650,2.43632
24700,2.44606
24750,2.46292
24800,2.48143
24850,2.49596
24900,2.51293
24950,2.52567
25000,2.52517
25050,2.52493
25100,2.51985
25150,2.51618
25200,2.52812
25250,2.53958
25300,2.5511
25350,2.56518
25400,2.56825
25450,2.55435
25500,2.53414
25550,2.52283
25600,2.51436
25650,2.50991
25700,2.50973
25750,2.50797
25800,2.51343
25850,2.53001
25900,2.55051
25950,2.56766
26000,2.58178
26050,2.59049
26100,2.58579
26150,2.58052
26200,2.57639
26250,2.57456
26300,2.58155
26350,2.58901
26400,2.58704
26450,2.58838
26500,2.58873
26550,2.58837
26600,2.58936
26650,2.58384
26700,2.57326
26750,2.57017
26800,2.58042
